time,up,down,total,big
2019-04-01 0:00:00,16,16,32,20.7
2019-04-01 1:00:00,5,8,13,17.9
2019-04-01 2:00:00,3,7,10,18.8
2019-04-01 3:00:00,3,6,9,14.6
2019-04-01 4:00:00,3,4,7,15.8
2019-04-01 5:00:00,5,5,10,15.8
2019-04-01 6:00:00,2,4,6,15.8
2019-04-01 7:00:00,4,10,14,17.4
2019-04-01 8:00:00,5,7,12,21.8
2019-04-01 9:00:00,6,6,12,20
2019-04-01 10:00:00,7,10,17,16.2
2019-04-01 11:00:00,6,14,20,13.3
2019-04-01 12:00:00,5,10,15,16.7
2019-04-01 13:00:00,5,15,20,21.5
2019-04-01 14:00:00,6,8,14,25
2019-04-01 15:00:00,19,10,29,20.7
2019-04-01 16:00:00,11,4,15,20.6
2019-04-01 17:00:00,11,6,17,24.8
2019-04-01 18:00:00,11,7,18,17.7
2019-04-01 19:00:00,10,6,16,15.5
2019-04-01 20:00:00,5,2,7,18.2
2019-04-01 21:00:00,10,11,21,12.1
2019-04-01 22:00:00,6,10,16,14.4
2019-04-01 23:00:00,4,6,10,16
2019-04-02 0:00:00,7,12,19,16.5
2019-04-02 1:00:00,8,10,18,18.7
2019-04-02 2:00:00,8,11,19,19.4
2019-04-02 3:00:00,8,12,20,17.2
2019-04-02 4:00:00,2,3,5,15.5
2019-04-02 5:00:00,4,4,8,15.1
2019-04-02 6:00:00,4,3,7,15.4
2019-04-02 7:00:00,5,5,10,15.3
2019-04-02 8:00:00,7,2,9,18.8
2019-04-02 9:00:00,4,9,13,21.9
2019-04-02 10:00:00,6,17,23,19.9
2019-04-02 11:00:00,5,25,30,16.6
2019-04-02 12:00:00,6,14,20,16.8
2019-04-02 13:00:00,4,12,16,14.6
2019-04-02 14:00:00,10,10,20,17.1
2019-04-02 15:00:00,17,7,24,25
2019-04-02 16:00:00,14,15,29,15
2019-04-02 17:00:00,10,8,18,13.7
2019-04-02 18:00:00,12,5,17,13.9
2019-04-02 19:00:00,15,0,15,18.3
2019-04-02 20:00:00,9,5,14,22
2019-04-02 21:00:00,8,6,14,22.1
2019-04-02 22:00:00,9,7,16,21.2
2019-04-02 23:00:00,6,13,19,18.4
2019-04-03 0:00:00,5,17,22,16.6
2019-04-03 1:00:00,6,14,20,16.1
2019-04-03 2:00:00,10,13,23,15.7
2019-04-03 3:00:00,8,5,13,16.6
2019-04-03 4:00:00,4,1,5,16.5
2019-04-03 5:00:00,7,10,17,14.4
2019-04-03 6:00:00,7,7,14,14.4
2019-04-03 7:00:00,5,3,8,18.5
2019-04-03 8:00:00,9,2,11,16.9
2019-04-03 9:00:00,9,10,19,17.5
2019-04-03 10:00:00,7,7,14,21.2
2019-04-03 11:00:00,5,14,19,17.8
2019-04-03 12:00:00,7,18,25,18.6
2019-04-03 13:00:00,4,14,18,17
2019-04-03 14:00:00,11,13,24,16
2019-04-03 15:00:00,15,9,24,13.3
2019-04-03 16:00:00,12,10,22,14.3
2019-04-03 17:00:00,15,9,24,11.4
2019-04-03 18:00:00,13,8,21,16.3
2019-04-03 19:00:00,12,0,12,16.1
2019-04-03 20:00:00,14,3,17,11.8
2019-04-03 21:00:00,13,7,20,12.2
2019-04-03 22:00:00,6,13,19,14.7
2019-04-03 23:00:00,10,4,14,11.8
2019-04-04 0:00:00,12,6,18,11.3
2019-04-04 1:00:00,9,7,16,10.6
2019-04-04 2:00:00,3,10,13,11.7
2019-04-04 3:00:00,5,8,13,14.2
2019-04-04 4:00:00,6,5,11,11.2
2019-04-04 5:00:00,4,2,6,16.9
2019-04-04 6:00:00,13,7,20,16.7
2019-04-04 7:00:00,3,4,7,8.1
2019-04-04 8:00:00,7,4,11,8
2019-04-04 9:00:00,6,7,13,8.8
2019-04-04 10:00:00,3,5,8,13.4
2019-04-04 11:00:00,6,9,15,10.9
2019-04-04 12:00:00,5,13,18,13.4
2019-04-04 13:00:00,4,16,20,11
2019-04-04 14:00:00,10,10,20,15
2019-04-04 15:00:00,10,5,15,15.7
2019-04-04 16:00:00,13,9,22,14.5
2019-04-04 17:00:00,18,8,26,15.8
2019-04-04 18:00:00,13,4,17,16.7
2019-04-04 19:00:00,14,4,18,16.8
2019-04-04 20:00:00,10,3,13,17.5
2019-04-04 21:00:00,11,4,15,17.1
2019-04-04 22:00:00,5,3,8,18.1
2019-04-04 23:00:00,10,7,17,16.6
2019-04-05 0:00:00,2,7,9,10
2019-04-05 1:00:00,3,17,20,14.9
2019-04-05 2:00:00,7,7,14,15.9
2019-04-05 3:00:00,6,6,12,13
2019-04-05 4:00:00,8,6,14,7.6
2019-04-05 5:00:00,9,2,11,11.5
2019-04-05 6:00:00,4,4,8,13.5
2019-04-05 7:00:00,4,5,9,13
2019-04-05 8:00:00,8,4,12,13.3
2019-04-05 9:00:00,8,5,13,12.1
2019-04-05 10:00:00,5,6,11,12.4
2019-04-05 11:00:00,3,8,11,13.2
2019-04-05 12:00:00,8,22,30,13.8
2019-04-05 13:00:00,7,11,18,10.6
2019-04-05 14:00:00,11,16,27,9
2019-04-05 15:00:00,7,8,15,10
2019-04-05 16:00:00,8,11,19,9.8
2019-04-05 17:00:00,10,3,13,11.5
2019-04-05 18:00:00,16,3,19,8.9
2019-04-05 19:00:00,13,4,17,7.4
2019-04-05 20:00:00,16,3,19,9.9
2019-04-05 21:00:00,5,0,5,9.3
2019-04-05 22:00:00,10,5,15,9.9
2019-04-05 23:00:00,5,9,14,7.4
2019-04-06 0:00:00,5,14,19,8.6
2019-04-06 1:00:00,10,11,21,11.9
2019-04-06 2:00:00,3,8,11,14
2019-04-06 3:00:00,9,15,24,8.6
2019-04-06 4:00:00,7,11,18,10
